,BACH2,Cd244,CX3CR1,CXCR6,ENTPD1,GZMA,GZMB,HAVCR2,IFNG,ITGAX,MKI67,MYB,PDCD1,SELL,SLAMF6,TCF7,TOX,Teff,Tex,Tpex
CUX1,0.28288645,0.07126734,0.06870448,0.5548664,0.09395117,0.99808985,1.6471179,0.409339,1.1233886,0.109640464,0.65951115,0.48785403,0.6133932,0.46814644,0.42777643,0.49104965,0.503521,0.1951219512195122,0.3577235772357723,0.4471544715447154
E2F7,0.2438916,0.07123452,0.090053104,0.48120838,0.116723664,0.51049745,1.077425,0.2778076,0.9514003,0.06831927,0.62571,0.5096317,0.54508597,0.50376415,0.49710104,0.5946935,0.5498645,0.1492537313432835,0.3333333333333333,0.5174129353233831
EGR1,0.2867546,0.056660403,0.083231896,0.48261875,0.09916241,0.5458787,1.2101114,0.2987767,0.90072787,0.08821594,0.54186165,0.47312096,0.6105032,0.44928154,0.5118352,0.6148257,0.5612046,0.1633663366336633,0.3316831683168317,0.504950495049505
EGR2,0.19884256,0.08418366,0.1284553,0.915245,0.20137075,0.61525124,1.8702177,0.5069227,1.2426139,0.09493091,0.6408868,0.3360127,0.8907784,0.26304597,0.32491475,0.393168,0.6499044,0.1492063492063492,0.5142857142857142,0.3365079365079365
EGR3,0.23965949,0.06290782,0.052557312,0.51119864,0.12679724,0.20386219,1.066368,0.27894232,0.97958434,0.054606263,0.4684676,0.49204397,0.60292035,0.63256353,0.55581,0.6745655,0.5568821,0.1121495327102803,0.3177570093457944,0.5700934579439252
ELF1,0.22997428,0.06042197,0.092570566,0.44042468,0.12001389,0.24100587,1.1712373,0.28769726,0.8362525,0.05244141,0.61344963,0.5721702,0.6153529,0.58227074,0.5493306,0.57988137,0.64096683,0.1153846153846153,0.3605769230769231,0.5240384615384616
ELF2,0.26482916,0.047708694,0.08850332,0.52504444,0.099931024,0.52289456,1.2370205,0.28845394,0.83467394,0.1252106,0.5605015,0.55564266,0.5639766,0.5090598,0.5248731,0.69181067,0.56877637,0.2078853046594982,0.3010752688172043,0.4910394265232975
ELF4,0.23723511,0.053414736,0.10341064,0.55037093,0.10003638,0.3800982,1.2557545,0.32305548,0.97908056,0.07288986,0.60727215,0.5539355,0.69648224,0.52474946,0.40721476,0.62816465,0.6060424,0.1390134529147982,0.3677130044843049,0.4932735426008968
EPAS1,0.23530503,0.08076987,0.08235684,0.49605978,0.15957583,0.23817709,1.2388257,0.30124152,0.7875473,0.06940429,0.55942273,0.49241346,0.5777268,0.59378344,0.52677375,0.61556435,0.56145394,0.1025641025641025,0.3717948717948718,0.5256410256410257
ERG,0.24617562,0.051696725,0.065779924,0.4545782,0.09896583,0.26117125,1.0564737,0.24915333,0.85662514,0.05515438,0.5804199,0.5717992,0.5059721,0.5135085,0.566775,0.6340164,0.5577443,0.1268292682926829,0.3121951219512195,0.5609756097560976
ESR1,0.28415385,0.05523216,0.06668121,0.5925465,0.118656054,0.4324695,1.185533,0.293113,0.94395304,0.052515414,0.5918039,0.56932026,0.594634,0.41858146,0.50689256,0.5880073,0.54646105,0.1528662420382165,0.3503184713375796,0.4968152866242038
ETS1,0.27540502,0.05244843,0.09357986,0.5249691,0.1319306,0.7610838,1.7171483,0.37676898,0.72580004,0.09292115,0.5734965,0.5371272,0.7577438,0.33344078,0.28620127,0.45190704,0.37502268,0.1397849462365591,0.5376344086021505,0.3225806451612903
ETS2,0.24693091,0.053722326,0.082440004,0.35125342,0.1247095,0.301188,1.1094389,0.2315922,0.9317959,0.025035929,0.49291813,0.5854084,0.5759401,0.7171444,0.5854362,0.73559105,0.6528963,0.1104294478527607,0.2822085889570552,0.6073619631901841
ETV6,0.28319344,0.04905689,0.08024444,0.3940046,0.11142622,0.27215058,1.1293489,0.2300723,0.8194853,0.05292896,0.57707125,0.56112313,0.59401315,0.6359033,0.46979105,0.63983846,0.56500155,0.1262626262626262,0.3484848484848485,0.5252525252525253
EZH2,0.4205965,0.067499444,0.059946954,0.27908143,0.11413974,0.23967744,0.90819854,0.09186015,0.64294285,0.101314366,0.4052927,0.72137713,0.45375702,0.5352253,0.7041283,0.9369687,0.71376705,0.1470588235294117,0.2058823529411764,0.6470588235294118
FHL2,0.24428177,0.036005236,0.10490102,0.44634557,0.088768415,0.68829465,1.251868,0.36900315,0.98025525,0.098410435,0.548669,0.5095945,0.5220897,0.579147,0.49543172,0.6930179,0.47848585,0.217391304347826,0.2608695652173913,0.5217391304347826
FLI1,0.24235639,0.048095264,0.14620242,0.752988,0.24843146,0.39121354,1.4793705,0.4758825,0.9245135,0.054755263,0.4862069,0.33915943,0.6961747,0.39504185,0.28740185,0.36252096,0.6904643,0.1240310077519379,0.4987080103359173,0.3772609819121447
FOS,0.28914478,0.053854156,0.05468619,0.39238748,0.07442722,0.35956812,0.9678589,0.23546976,0.7917122,0.035566982,0.56126875,0.58999014,0.48659253,0.53959507,0.52685726,0.65874803,0.629171,0.1027397260273972,0.3287671232876712,0.5684931506849316
FOSB,0.2633118,0.091641486,0.06392056,0.55298007,0.10116199,0.26775765,1.279234,0.3736597,0.89442575,0.048052017,0.4638473,0.49886748,0.68405867,0.44870985,0.46028447,0.48678672,0.6168578,0.088,0.448,0.464
FOSL2,0.21986395,0.0681568,0.073422946,0.3945698,0.09111093,0.2823585,0.9505104,0.22844838,0.9100882,0.052591305,0.49662906,0.609179,0.7360879,0.57765764,0.5524943,0.78776413,0.6711241,0.1238095238095238,0.2571428571428571,0.6190476190476191
FOXB1,0.25801802,0.04990942,0.06845369,0.42357284,0.11880995,0.31296438,1.1858447,0.2938445,0.8583156,0.03769485,0.5815434,0.57389176,0.62062746,0.5892448,0.5243453,0.6864175,0.5550321,0.1020408163265306,0.3469387755102041,0.5510204081632653
FOXL1,0.3220775,0.0474031,0.04272016,0.35585964,0.06685415,0.27573872,1.0906563,0.18775332,0.79167557,0.055930804,0.5100033,0.62301224,0.5242186,0.6799194,0.5706434,0.7060643,0.5377826,0.1153846153846153,0.2582417582417582,0.6263736263736264
FOXN3,0.29013574,0.040622856,0.039627146,0.4048842,0.11823366,0.36179364,1.1557294,0.25226396,0.86127657,0.05651072,0.5493506,0.5477383,0.520386,0.55365694,0.45571673,0.62308997,0.42578432,0.1285714285714285,0.3142857142857143,0.5571428571428572
FOXO1,0.21511719,0.070575655,0.119083606,0.33389065,0.14195763,0.72205985,1.5060645,0.36632758,0.97377294,0.085396506,0.3311029,0.44556677,0.4953816,0.24793775,0.2804073,0.39392373,0.36447498,0.4,0.2,0.4
FOXP1,0.27344587,0.106195524,0.09890375,0.6073715,0.17056529,0.6277947,1.3715037,0.36862484,1.1281095,0.09361596,0.47971871,0.34050313,0.5590972,0.31044573,0.40220487,0.4902442,0.35141814,0.2266666666666666,0.3466666666666667,0.4266666666666667
GATA3,0.25323176,0.04242222,0.06392254,0.454482,0.098459944,0.51686466,1.3655521,0.2610511,0.9344246,0.051635187,0.55326647,0.66346264,0.5942367,0.6488539,0.5987569,0.79923815,0.5588763,0.1528662420382165,0.2420382165605095,0.6050955414012739
GLIS1,0.2418705,0.049106333,0.09691991,0.61371297,0.0901044,0.9411046,1.2915236,0.38407114,1.075893,0.07247086,0.42627937,0.47122377,0.62526536,0.58580786,0.5041371,0.5917517,0.5549727,0.2814070351758794,0.2512562814070351,0.4673366834170854
HBP1,0.24326794,0.07653689,0.06874449,0.56250936,0.16262694,0.3773003,1.1961696,0.28148004,0.86554563,0.02593184,0.6004704,0.56298786,0.6513612,0.49195307,0.48187625,0.61154926,0.717288,0.0689655172413793,0.418103448275862,0.5129310344827587
HIPK2,0.31349367,0.051086582,0.09023365,0.4564603,0.12378941,0.34913886,1.1901845,0.29522532,0.8843767,0.053608306,0.5693224,0.5867705,0.5994812,0.5779443,0.54267,0.63985634,0.6031121,0.1179245283018868,0.330188679245283,0.5518867924528302
HIVEP1,0.2689283,0.048153996,0.103774995,0.5328474,0.10628989,0.252876,1.2677853,0.21920997,0.8129136,0.013684399,0.52281624,0.5884513,0.6500899,0.46120778,0.483127,0.62850356,0.65567935,0.125,0.375,0.5
HIVEP2,0.30680043,0.06089751,0.0675478,0.43377554,0.12963755,0.42226008,1.0750132,0.278527,0.8958377,0.1042788,0.59352493,0.61829996,0.56782097,0.58932513,0.5393102,0.71834815,0.56302303,0.1355140186915887,0.3177570093457944,0.5467289719626168
HIVEP3,0.29433748,0.0489856,0.07778797,0.4615537,0.14969952,0.33575675,1.1288537,0.25788203,0.83002603,0.07275326,0.6010724,0.5286257,0.56676966,0.55172914,0.4999397,0.59933597,0.5873251,0.1266968325791855,0.3438914027149321,0.5294117647058824
HMGB2,0.24311921,0.0648205,0.10000389,0.6032073,0.12332197,0.47808903,1.2648866,0.39500907,1.0112035,0.042098112,0.59406394,0.473556,0.5484814,0.44337067,0.42946643,0.41011453,0.47909802,0.1789473684210526,0.3631578947368421,0.4578947368421052
ID2,0.2782622,0.016162353,0.038856916,0.13205321,0.04310423,0.18108283,0.5627798,0.078059055,0.53114456,0.0060307356,0.5345651,0.79689384,0.5169967,0.9306427,0.8721131,0.9385138,0.80795115,0.0780141843971631,0.0992907801418439,0.8226950354609929
ID3,0.38460878,0.042365767,0.074018,0.48557627,0.09234089,0.2641833,1.0339977,0.21807043,1.1210344,0.061114427,0.5297672,0.6002412,0.47067744,0.4289825,0.38236368,0.58497846,0.4242327,0.1948051948051948,0.3506493506493506,0.4545454545454545
IKZF1,0.28936386,0.010677087,0.023322292,0.10840437,0.06751352,0.24787092,0.4091406,0.07520254,0.6762545,0.012143885,0.42120224,0.9750042,0.49762744,0.96521133,0.9840591,1.247557,0.74012786,0.047024952015355,0.0628598848368522,0.8901151631477927
IKZF2,0.20988841,0.09595019,0.07656981,0.63943297,0.18835033,0.22255617,1.5429696,0.3226233,1.0503794,0.02424163,0.70470756,0.51105237,0.769082,0.4499438,0.43813375,0.48388448,0.6445446,0.0612244897959183,0.5170068027210885,0.4217687074829932
IRF1,0.30682182,0.05496978,0.054617763,0.41250655,0.12028782,0.26768914,1.0633742,0.20850942,0.87346977,0.05648788,0.31476507,0.5895353,0.6238307,0.45824295,0.5507185,0.6083017,0.5473248,0.1263157894736842,0.3684210526315789,0.5052631578947369
IRF2BP2,0.31236237,0.036248945,0.06835497,0.40001258,0.07452883,0.46486494,1.0929964,0.2002128,0.7796347,0.07784766,0.6170727,0.6230913,0.50424445,0.57227963,0.55135643,0.6301395,0.5072119,0.1899641577060931,0.2508960573476702,0.5591397849462365
IRF4,0.37388685,0.0,0.06156955,0.020980278,0.0,0.09965155,0.37928936,0.0,0.20798011,0.0,0.13651904,1.2808039,0.820266,1.0097086,0.69069916,1.1384728,0.8590633,0.0714285714285714,0.0,0.9285714285714286
IRF7,0.25853977,0.076161385,0.1013885,0.573104,0.1467142,0.22397758,1.3486638,0.29683188,0.9234994,0.033731148,0.5914913,0.5171731,0.60397506,0.43789765,0.46423233,0.51608354,0.5632768,0.0918918918918919,0.4594594594594595,0.4486486486486487
IRF8,0.25406545,0.052976813,0.08483995,0.48529428,0.110301666,0.5762941,1.2380049,0.3814811,1.0363892,0.09212103,0.5778977,0.58908707,0.55435455,0.47237244,0.53671944,0.5859081,0.5649015,0.191860465116279,0.3023255813953488,0.5058139534883721
